Envi,Formula,rho,p,Group
WSOCbb,C10H10N2O5,-0.306,0.094,Ulaanbaatar
WSOCbb,C10H10N2O5,0.409,0.0306,Ulaanbaatar
WSOCbb,C10H10N2O6,0.623,5.00E-04,Ulaanbaatar
WSOCbb,C10H10N2O7,0.623,5.00E-04,Ulaanbaatar
WSOCbb,C10H10O2,0.315,0.109,Ulaanbaatar
WSOCbb,C10H10O3,0.249,0.2095,Ulaanbaatar
WSOCbb,C10H10O4,0.028,0.889,Ulaanbaatar
WSOCbb,C10H10O4S,0.135,0.5029,Ulaanbaatar
WSOCbb,C10H10O5,0.489,0.0097,Ulaanbaatar
WSOCbb,C10H10O5S,0.102,0.6128,Ulaanbaatar
WSOCbb,C10H10O6,0.102,0.6128,Ulaanbaatar
WSOCbb,C10H10O6S,-0.135,0.5027,Ulaanbaatar
WSOCbb,C10H10O7S,-0.089,0.6595,Ulaanbaatar
WSOCbb,C10H10O8S,-0.089,0.6595,Ulaanbaatar
WSOCbb,C10H11N3O5,-0.089,0.6595,Ulaanbaatar
WSOCbb,C10H11NO2,-0.089,0.6595,Ulaanbaatar
WSOCbb,C10H11NO3,-0.163,0.4165,Ulaanbaatar
WSOCbb,C10H11NO4,0.657,2.00E-04,Ulaanbaatar
WSOCbb,C10H11NO5,0.174,0.3853,Ulaanbaatar
WSOCbb,C10H11NO5S,0.12,0.5524,Ulaanbaatar
WSOCbb,C10H11NO6,0.12,0.5524,Ulaanbaatar
WSOCbb,C10H11NO6S,-0.158,0.4322,Ulaanbaatar
WSOCbb,C10H11NO7S,-0.095,0.6376,Ulaanbaatar
WSOCbb,C10H11NO8S,-0.095,0.6376,Ulaanbaatar
WSOCbb,C10H11NO9S,-0.095,0.6376,Ulaanbaatar
WSOCbb,C10H12N4O7,-0.095,0.6376,Ulaanbaatar
WSOCbb,C10H12N4O8,-0.095,0.6376,Ulaanbaatar
WSOCbb,C10H12O2,-0.256,0.1966,Ulaanbaatar
WSOCbb,C10H12O3,-0.256,0.1966,Ulaanbaatar
WSOCbb,C10H12O4,0.525,0.0049,Ulaanbaatar
WSOCbb,C10H12O4S,-0.397,0.0405,Ulaanbaatar
WSOCbb,C10H12O5,-0.397,0.0405,Ulaanbaatar
WSOCbb,C10H12O5S,0.13,0.5179,Ulaanbaatar
WSOCbb,C10H12O6,0.13,0.5179,Ulaanbaatar
WSOCbb,C10H12O6S,0.13,0.5179,Ulaanbaatar
WSOCbb,C10H12O7S,-0.018,0.9289,Ulaanbaatar
WSOCbb,C10H12O8S,-0.072,0.7221,Ulaanbaatar
WSOCbb,C10H12O9S,-0.072,0.7221,Ulaanbaatar
WSOCbb,C10H13NO10S,-0.072,0.7221,Ulaanbaatar
WSOCbb,C10H13NO3,-0.072,0.7221,Ulaanbaatar
WSOCbb,C10H13NO4,0.209,0.2966,Ulaanbaatar
WSOCbb,C10H13NO4S,-0.301,0.1273,Ulaanbaatar
WSOCbb,C10H13NO5,-0.375,0.0539,Ulaanbaatar
WSOCbb,C10H13NO5S,0.199,0.3193,Ulaanbaatar
WSOCbb,C10H13NO6S,0.199,0.3193,Ulaanbaatar
WSOCbb,C10H13NO7S,0.678,1.00E-04,Ulaanbaatar
WSOCbb,C10H13NO8S,0.847,0,Ulaanbaatar
WSOCbb,C10H14N4O7,0.847,0,Ulaanbaatar
WSOCbb,C10H14O10S,0.847,0,Ulaanbaatar
WSOCbb,C10H14O2,-0.261,0.1885,Ulaanbaatar
WSOCbb,C10H14O3,-0.261,0.1885,Ulaanbaatar
WSOCbb,C10H14O4S,-0.03,0.8834,Ulaanbaatar
WSOCbb,C10H14O5,-0.515,0.0059,Ulaanbaatar
WSOCbb,C10H14O6,-0.515,0.0059,Ulaanbaatar
WSOCbb,C10H14O6S,0.005,0.9795,Ulaanbaatar
WSOCbb,C10H14O7,0.005,0.9795,Ulaanbaatar
WSOCbb,C10H14O7S,-0.258,0.1934,Ulaanbaatar
WSOCbb,C10H14O8S,-0.688,1.00E-04,Ulaanbaatar
WSOCbb,C10H14O9S,0.183,0.3619,Ulaanbaatar
WSOCbb,C10H15NO10S,-0.323,0.1004,Ulaanbaatar
WSOCbb,C10H15NO3,-0.323,0.1004,Ulaanbaatar
WSOCbb,C10H15NO4,-0.323,0.1004,Ulaanbaatar
WSOCbb,C10H15NO4S,0.103,0.6096,Ulaanbaatar
WSOCbb,C10H15NO5,0.103,0.6096,Ulaanbaatar
WSOCbb,C10H15NO5S,0.103,0.6096,Ulaanbaatar
WSOCbb,C10H15NO6,0.103,0.6096,Ulaanbaatar
WSOCbb,C10H15NO6S,0.185,0.3557,Ulaanbaatar
WSOCbb,C10H15NO7,0.185,0.3557,Ulaanbaatar
WSOCbb,C10H15NO7S,-0.125,0.5346,Ulaanbaatar
WSOCbb,C10H15NO8,-0.125,0.5346,Ulaanbaatar
WSOCbb,C10H15NO8S,-0.332,0.0902,Ulaanbaatar
WSOCbb,C10H15NO9,-0.332,0.0902,Ulaanbaatar
WSOCbb,C10H15NO9S,-0.443,0.0207,Ulaanbaatar
WSOCbb,C10H16O4S,-0.016,0.9373,Ulaanbaatar
WSOCbb,C10H16O5,-0.016,0.9373,Ulaanbaatar
WSOCbb,C10H16O5S,-0.465,0.0144,Ulaanbaatar
WSOCbb,C10H16O6,-0.398,0.0399,Ulaanbaatar
WSOCbb,C10H16O6S,-0.133,0.5076,Ulaanbaatar
WSOCbb,C10H16O7S,-0.133,0.5076,Ulaanbaatar
WSOCbb,C10H16O8S,-0.738,0,Ulaanbaatar
WSOCbb,C10H16O9S,-0.738,0,Ulaanbaatar
WSOCbb,C10H17NO10S,-0.841,0,Ulaanbaatar
WSOCbb,C10H17NO3,-0.841,0,Ulaanbaatar
WSOCbb,C10H17NO6,-0.841,0,Ulaanbaatar
WSOCbb,C10H17NO6S,0.338,0.085,Ulaanbaatar
WSOCbb,C10H17NO7,0.338,0.085,Ulaanbaatar
WSOCbb,C10H17NO7S,-0.215,0.2808,Ulaanbaatar
WSOCbb,C10H17NO8,-0.215,0.2808,Ulaanbaatar
WSOCbb,C10H17NO8S,-0.128,0.5242,Ulaanbaatar
WSOCbb,C10H17NO9S,-0.663,2.00E-04,Ulaanbaatar
WSOCbb,C10H18O4S,-0.146,0.4678,Ulaanbaatar
WSOCbb,C10H18O5,-0.146,0.4678,Ulaanbaatar
WSOCbb,C10H18O5S,-0.464,0.0147,Ulaanbaatar
WSOCbb,C10H18O6,-0.464,0.0147,Ulaanbaatar
WSOCbb,C10H18O6S,-0.766,0,Ulaanbaatar
WSOCbb,C10H18O7S,-0.568,0.002,Ulaanbaatar
WSOCbb,C10H18O8S,-0.568,0.002,Ulaanbaatar
WSOCbb,C10H18O9S,-0.568,0.002,Ulaanbaatar
WSOCbb,C10H19NO5S,-0.281,0.1558,Ulaanbaatar
WSOCbb,C10H19NO7S,-0.281,0.1558,Ulaanbaatar
WSOCbb,C10H19NO8S,-0.324,0.0994,Ulaanbaatar
WSOCbb,C10H19NO9S,-0.654,2.00E-04,Ulaanbaatar
WSOCbb,C10H20O4,-0.654,2.00E-04,Ulaanbaatar
WSOCbb,C10H20O4S,-0.654,2.00E-04,Ulaanbaatar
WSOCbb,C10H20O6S,0.305,0.1222,Ulaanbaatar
WSOCbb,C10H20O7S,-0.374,0.0547,Ulaanbaatar
WSOCbb,C10H21NO7S,0.187,0.3507,Ulaanbaatar
WSOCbb,C10H21NO9S,0.187,0.3507,Ulaanbaatar
WSOCbb,C10H6N2O5,-0.068,0.7369,Ulaanbaatar
